"﻿ОКАТО из ПС НСИ;Наименование"
"643;Российская Федерация"
"30;Центральный федеральный округ"
"14000000000;Белгородская область"
"14401000000;Белгород"
"14430000000;Губкин"
"14440000000;Старый Оскол"
"15000000000;Брянская область"
"15401000000;Брянск"
"15238551000;Навля"
"15415000000;Клинцы"
"15420000000;Новозыбков"
"17000000000;Владимирская область"
"17401000000;Владимир"
"17420000000;Гусь-Хрустальный"
"17425000000;Ковров"
"17435000000;Муром"
"20000000000;Воронежская область"
"20401000000;Воронеж"
"20410000000;Борисоглебск"
"20247501000;Россошь"
"24000000000;Ивановская область"
"24401000000;Иваново"
"24405000000;Кинешма"
"29000000000;Калужская область"
"29401000000;Калуга"
"29220501000;Людиново"
"29415000000;Обнинск"
"34000000000;Костромская область"
"34401000000;Кострома"
"34430000000;Шарья"
"38000000000;Курская область"
"38401000000;Курск"
"38405000000;Железногорск"
"38226501000;Обоянь"
"42000000000;Липецкая область"
"42401000000;Липецк"
"42415000000;Елец"
"46000000000;Московская область"
"46410000000;Воскресенск"
"46428000000;Сергиев Посад"
"46433000000;Истра"
"46437000000;Клин"
"46439000000;Красногорск"
"46448000000;Люберцы"
"46451000000;Ногинск"
"46455000000;Одинцово"
"46459000000;Павловский Посад"
"46468000000;Раменское"
"46476000000;Ступино"
"46457000000;Орехово-Зуево"
"46460000000;Подольск"
"46470000000;Серпухов"
"46490000000;Электросталь"
"54000000000;Орловская область"
"54401000000;Орёл"
"54405000000;Ливны"
"54410000000;Мценск"
"61000000000;Рязанская область"
"61401000000;Рязань"
"61405000000;Касимов"
"61410000000;Сасово"
"61415000000;Скопин"
"66000000000;Смоленская область"
"66401000000;Смоленск"
"66208501000;Гагарин"
"66236501000;Рославль"
"66258501000;Ярцево"
"68000000000;Тамбовская область"
"68401000000;Тамбов"
"68415000000;Мичуринск"
"28000000000;Тверская область"
"28401000000;Тверь"
"28405000000;Бежецк"
"28426000000;Кимры"
"28445000000;Ржев"
"70000000000;Тульская область"
"70401000000;Тула"
"70234501000;Новомосковск"
"70202501000;Алексин"
"78000000000;Ярославская область"
"78401000000;Ярославль"
"78415000000;Рыбинск"
"45000000000;Город Москва столица Российской Федерации город федерального значения"
"45263000000;Восточный"
"45268000000;Западный"
"45272000000;Зеленоградский"
"45277000000;Северный"
"45280000000;Северо-Восточный"
"45283000000;Северо-Западный"
"45286000000;Центральный"
"45290000000;Юго-Восточный"
"45293000000;Юго-Западный"
"45296000000;Южный"
"45298000000;Троицкий"
"31;Северо-Западный федеральный округ"
"86000000000;Республика Карелия"
"86401000000;Петрозаводск"
"86245501000;Сегежа"
"86406000000;Костомукша"
"87000000000;Республика Коми"
"87401000000;Сыктывкар"
"87410000000;Воркута"
"87425000000;Ухта"
"11000000000;Архангельская область"
"11100000000;Ненецкий автономный округ (Архангельская область)"
"11111000000;Нарьян-Мар"
"11001000000;Архангельская область (кроме Ненецкого автономного округа)"
"11401000000;Архангельск"
"11410000000;Котлас"
"11430000000;Северодвинск"
"11244501000;Няндома"
"19000000000;Вологодская область"
"19401000000;Вологда"
"19410000000;Великий Устюг"
"19430000000;Череповец"
"27000000000;Калининградская область"
"27401000000;Калининград"
"27215501000;Зеленоградск"
"27239501000;Черняховск"
"27430000000;Советск"
"41000000000;Ленинградская область"
"41209501000;Волхов"
"41215501000;Выборг"
"41218501000;Гатчина"
"41221501000;Кингисепп"
"41224501000;Кириши"
"41245501000;Тихвин"
"41248501000;Тосно"
"47000000000;Мурманская область"
"47401000000;Мурманск"
"47405000000;Апатиты"
"47530000000;Североморск"
"49000000000;Новгородская область"
"49401000000;Великий Новгород"
"49208501000;Валдай"
"49408000000;Боровичи"
"49413000000;Старая Русса"
"58000000000;Псковская область"
"58401000000;Псков"
"58233501000;Остров"
"58410000000;Великие Луки"
"40000000000;Город Санкт-Петербург город федерального значения"
"40265000000;Выборгский"
"40273000000;Калининский"
"40276000000;Кировский"
"40278000000;Красногвардейский"
"40284000000;Московский"
"40285000000;Невский"
"40298000000;Центральный"
"40;Южный федеральный округ (с 29.07.2016)"
"79000000000;Республика Адыгея (Адыгея)"
"79401000000;Майкоп"
"85000000000;Республика Калмыкия"
"85401000000;Элиста"
"85205501000;Городовиковск"
"85215501000;Лагань"
"35000000000;Республика Крым"
"35401000000;Симферополь"
"35409000000;Евпатория"
"35412000000;Керчь"
"35419000000;Ялта"
"03000000000;Краснодарский край"
"03401000000;Краснодар"
